ZXR1500,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1501,38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male
ZXR1502,53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
ZXR1503,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female
ZXR1504,37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female
ZXR1505,49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female
ZXR1506,52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1507,31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1508,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1509,37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male
ZXR1510,30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male
ZXR1511,23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female
ZXR1512,32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male
ZXR1513,40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
ZXR1514,34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male
ZXR1515,25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male
ZXR1516,32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male
ZXR1517,38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male
ZXR1518,43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female
ZXR1519,40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1520,54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female
ZXR1521,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male
ZXR1522,43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR1523,59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female
ZXR1524,56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1525,19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male
ZXR1526,54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male
ZXR1527,39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR1528,49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1529,23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male
ZXR1530,20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male
ZXR1531,45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male
ZXR1532,30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male
ZXR1533,22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male
ZXR1534,48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male
ZXR1535,21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male
ZXR1536,19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female
ZXR1537,31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1538,48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1539,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1540,53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1541,24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1542,49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female
ZXR1543,25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male
ZXR1544,57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male
ZXR1545,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1546,44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female
ZXR1547,41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1548,29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR1549,25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female
ZXR1550,18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female
ZXR1551,47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female
ZXR1552,50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR1553,47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR1554,43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1555,46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1556,35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male
ZXR1557,41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1558,30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1559,30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR1560,32, ?, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male
ZXR1561,48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR1562,42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1563,29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male
ZXR1564,36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1565,28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female
ZXR1566,53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female
ZXR1567,49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1568,25, ?, Some-college,10, Never-married, ?, Own-child, White, Male
ZXR1569,19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male
ZXR1570,31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female
ZXR1571,29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR1572,23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male
ZXR1573,79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male
ZXR1574,27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male
ZXR1575,40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1576,67, ?, 10th,6, Married-civ-spouse, ?, Husband, White, Male
ZXR1577,18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female
ZXR1578,31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR1579,18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male
ZXR1580,52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male
ZXR1581,46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female
ZXR1582,59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR1583,44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female
ZXR1584,53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female
ZXR1585,49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR1586,33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1587,30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male
ZXR1588,43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1589,57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1590,37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female
ZXR1591,28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female
ZXR1592,30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female
ZXR1593,34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR1594,29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male
ZXR1595,48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1596,37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1597,48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female
ZXR1598,32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male
ZXR1599,76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1600,44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1601,47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1602,20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female
ZXR1603,29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male
ZXR1604,32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
