ZXR1500,467603.07229984156,0,0,13, United-States, <=50K
ZXR1501,393375.3735755327,0,0,40, United-States, <=50K
ZXR1502,290035.7809910047,0,0,40, United-States, <=50K
ZXR1503,324212.5465519567,0,0,40, Cuba, <=50K
ZXR1504,408145.83121253765,0,0,40, United-States, <=50K
ZXR1505,272939.01788972446,0,0,16, Jamaica, <=50K
ZXR1506,273834.84965472063,0,0,45, United-States, >50K
ZXR1507,249484.4903246718,14084,0,50, United-States, >50K
ZXR1508,311885.04701899947,5178,0,40, United-States, >50K
ZXR1509,318588.2179406261,0,0,80, United-States, >50K
ZXR1510,471193.8409992657,0,0,40, India, >50K
ZXR1511,401183.34464167914,0,0,30, United-States, <=50K
ZXR1512,198916.44510690199,0,0,50, United-States, <=50K
ZXR1513,203099.41570914368,0,0,40, ?, >50K
ZXR1514,261168.63666130876,0,0,45, Mexico, <=50K
ZXR1515,269543.8268617415,0,0,35, United-States, <=50K
ZXR1516,261124.4442526811,0,0,40, United-States, <=50K
ZXR1517,266930.67246197374,0,0,50, United-States, <=50K
ZXR1518,254372.43458086473,0,0,45, United-States, >50K
ZXR1519,325601.8217469912,0,0,60, United-States, >50K
ZXR1520,368083.833239179,0,0,20, United-States, <=50K
ZXR1521,482450.16618913796,0,0,40, United-States, <=50K
ZXR1522,342727.0127278393,0,2042,40, United-States, <=50K
ZXR1523,318977.7570327529,0,0,40, United-States, <=50K
ZXR1524,351616.3468556563,0,0,40, United-States, >50K
ZXR1525,373545.7758353421,0,0,40, United-States, <=50K
ZXR1526,146942.64926840097,0,0,60, South, >50K
ZXR1527,197674.91236112503,0,0,80, United-States, <=50K
ZXR1528,494020.8910059984,0,0,40, United-States, <=50K
ZXR1529,503982.43409373634,0,0,52, United-States, <=50K
ZXR1530,391341.3217303318,0,0,44, United-States, <=50K
ZXR1531,245138.1408281885,0,1408,40, United-States, <=50K
ZXR1532,361147.80317065096,0,0,40, United-States, <=50K
ZXR1533,412856.3312678291,0,0,15, United-States, <=50K
ZXR1534,478372.3147177873,0,0,40, Puerto-Rico, <=50K
ZXR1535,302935.4563949186,0,0,40, United-States, <=50K
ZXR1536,252328.5670746791,0,0,25, United-States, <=50K
ZXR1537,342994.22270393686,0,0,38, ?, >50K
ZXR1538,286883.08911130804,0,0,40, United-States, <=50K
ZXR1539,418066.0783447239,0,0,43, United-States, <=50K
ZXR1540,201731.43625351047,0,0,40, United-States, <=50K
ZXR1541,280896.77613846917,0,0,50, United-States, <=50K
ZXR1542,379097.74762370635,0,0,40, United-States, <=50K
ZXR1543,415110.6753479352,0,0,35, United-States, <=50K
ZXR1544,216501.51331568966,0,0,40, United-States, >50K
ZXR1545,326454.3198489141,0,0,38, United-States, <=50K
ZXR1546,316600.59455064876,0,0,40, United-States, <=50K
ZXR1547,435113.9400992389,0,0,40, United-States, <=50K
ZXR1548,282382.9358532363,0,0,43, United-States, <=50K
ZXR1549,322633.65994872,0,0,40, United-States, <=50K
ZXR1550,393227.78023299965,0,0,30, ?, <=50K
ZXR1551,261070.13614110713,0,1902,60, Honduras, >50K
ZXR1552,508530.99964583304,0,0,55, United-States, >50K
ZXR1553,335616.9302388058,0,0,60, United-States, <=50K
ZXR1554,222366.6022547123,0,0,40, United-States, >50K
ZXR1555,221827.25931117218,0,0,40, Mexico, <=50K
ZXR1556,454392.32572448463,0,0,40, Puerto-Rico, <=50K
ZXR1557,411046.18357407453,0,0,48, United-States, <=50K
ZXR1558,261033.87397998013,5013,0,40, United-States, <=50K
ZXR1559,308960.8609501637,2407,0,40, United-States, <=50K
ZXR1560,311817.2262852309,0,0,40, ?, <=50K
ZXR1561,249851.67349877392,0,0,40, United-States, <=50K
ZXR1562,258971.705462062,0,0,45, United-States, >50K
ZXR1563,511492.2705079208,0,0,58, United-States, <=50K
ZXR1564,417901.3630499649,0,0,40, United-States, <=50K
ZXR1565,368576.10820608493,0,0,40, United-States, <=50K
ZXR1566,440040.865391363,0,0,40, United-States, >50K
ZXR1567,471278.2029041488,0,0,50, United-States, >50K
ZXR1568,267511.36324012163,0,0,40, United-States, <=50K
ZXR1569,307329.9601219449,0,0,32, United-States, <=50K
ZXR1570,289276.74444650277,0,0,40, United-States, <=50K
ZXR1571,468118.77957392426,0,0,70, United-States, >50K
ZXR1572,405066.1714081747,0,0,40, United-States, <=50K
ZXR1573,327895.91302760656,0,0,20, United-States, <=50K
